 # Once                                                             FEFF 9.9.1
 # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
 # Abs   Z=92 Rmt= 1.631 Rnm= 1.711 L3 shell
 # Pot 1 Z=92 Rmt= 1.636 Rnm= 1.717
 # Pot 2 Z= 8 Rmt= 1.044 Rnm= 1.096
 # Gam_ch=8.104E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
 # Mu=-8.539E+00eV kf=2.111E+00 Vint=-1.836E+01eV Rs_int= 1.718
 # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    2      icalc       2
 -----------------------------------------------------------------------
   3  24.000   3.7349    2.5893   -8.53908 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  92 U        absorbing atom
     1.3671   -1.3671    1.3671  2   8 O     
     1.3671   -1.3671   -1.3671  2   8 O     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.6175E+01  0.0000E+00 -1.7550E+01  3.325E-01  3.0801E+00  1.6379E+00
  0.100  1.6170E+01  2.3640E-02 -1.8264E+01  3.383E-01  3.0854E+00  1.6407E+00
  0.200  1.6154E+01  4.6538E-02 -1.8916E+01  3.554E-01  3.1011E+00  1.6491E+00
  0.300  1.6133E+01  6.7808E-02 -1.9508E+01  3.838E-01  3.1271E+00  1.6630E+00
  0.400  1.6111E+01  8.6471E-02 -2.0048E+01  4.229E-01  3.1628E+00  1.6824E+00
  0.500  1.6090E+01  1.0168E-01 -2.0539E+01  4.718E-01  3.2076E+00  1.7070E+00
  0.600  1.6074E+01  1.1297E-01 -2.0986E+01  5.290E-01  3.2607E+00  1.7368E+00
  0.700  1.6062E+01  1.2031E-01 -2.1392E+01  5.925E-01  3.3213E+00  1.7714E+00
  0.800  1.6054E+01  1.2410E-01 -2.1760E+01  6.600E-01  3.3881E+00  1.8107E+00
  0.900  1.6048E+01  1.2502E-01 -2.2092E+01  7.289E-01  3.4602E+00  1.8544E+00
  1.000  1.6043E+01  1.2385E-01 -2.2391E+01  7.966E-01  3.5361E+00  1.9024E+00
  1.100  1.6036E+01  1.2143E-01 -2.2660E+01  8.611E-01  3.6148E+00  1.9544E+00
